Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
5/27/2024 12:00,2343.38,2346.17,2338.19,2342.94,12066,,,,,,,,,,,,
5/27/2024 16:00,2342.92,2357.05,2342.48,2356.18,14364,,,,,,,,,,,,
5/27/2024 20:00,2356.3,2358.52,2352.2,2354.81,12388,,,,,,,,,,,,
5/28/2024 0:00,2354.85,2354.92,2350.03,2350.08,685,,,,,,,,,,,,
5/28/2024 4:00,2352.38,2356.4,2349.23,2355.74,8723,,,,,,,,,,,,
5/28/2024 8:00,2355.89,2355.9,2349.66,2350.04,10283,,,,,,,,,,,,
5/28/2024 12:00,2350.05,2350.09,2340.32,2343.95,15122,,,,,,,,,,,,
5/28/2024 16:00,2344.1,2364.14,2343.23,2351.98,16836,,,,,,,,,,,,
5/28/2024 20:00,2351.87,2362.22,2347.99,2357.01,19477,,,,,,,,,,,,
5/29/2024 0:00,2357.01,2360.92,2352.85,2360.6,7558,,,,,,,,,,,,
5/29/2024 4:00,2360.08,2361.37,2355.74,2356.72,9693,,,,,,,,,,,,
5/29/2024 8:00,2356.66,2361.37,2354.5,2355.8,12892,,,,,,,,,,,,
5/29/2024 12:00,2355.81,2356.44,2340.93,2344.88,18513,,,,,,,,,,,,
5/29/2024 16:00,2344.86,2347.28,2334.61,2345.93,19309,,,,,,,,,,,,
5/29/2024 20:00,2345.76,2346.4,2336.1,2344.02,17450,,,,,,,,,,,,
5/30/2024 0:00,2344.24,2344.35,2336.05,2338.04,7137,,,,,,,,,,,,
5/30/2024 4:00,2338.57,2339.91,2332.92,2333.39,10860,,,,,,,,,,,,
5/30/2024 8:00,2333.79,2337.2,2322.74,2324.61,15686,,,,,,,,,,,,
5/30/2024 12:00,2324.6,2338.04,2324,2333.1,17960,,,,,,,,,,,,
5/30/2024 16:00,2333.05,2350.5,2330.69,2350.41,19960,,,,,,,,,,,,
5/30/2024 20:00,2350.47,2351.77,2340.95,2344.51,17704,,,,,,,,,,,,
5/31/2024 0:00,2344.46,2344.46,2339.98,2342.61,7356,,,,,,,,,,,,
5/31/2024 4:00,2343.47,2347.69,2342.07,2346.34,10754,,,,,,,,,,,,
5/31/2024 8:00,2346.34,2347.79,2337.06,2342.64,13621,,,,,,,,,,,,
5/31/2024 12:00,2342.64,2347.06,2339.72,2342.07,14523,,,,,,,,,,,,
5/31/2024 16:00,2342.15,2359.8,2341.84,2345.25,17434,,,,,,,,,,,,
5/31/2024 20:00,2345.17,2348.7,2323.97,2325.35,21194,,,,,,,,,,,,
6/1/2024 0:00,2325.35,2330.61,2320.6,2326.44,8582,,,,,,,,,,,,
6/3/2024 4:00,2328.11,2331.06,2323.34,2330.95,10428,,,,,,,,,,,,
6/3/2024 8:00,2330.95,2331,2315.4,2320.09,13863,,,,,,,,,,,,
6/3/2024 12:00,2320.15,2328.88,2314.77,2327.27,16878,,,,,,,,,,,,
6/3/2024 16:00,2327.26,2342.45,2325.76,2341.01,18258,,,,,,,,,,,,
6/3/2024 20:00,2341.31,2354.76,2335.52,2348.58,19609,,,,,,,,,,,,
6/4/2024 0:00,2348.58,2351.09,2344.75,2350.9,7440,,,,,,,,,,,,
6/4/2024 4:00,2351.39,2352.83,2343.34,2346.7,8983,,,,,,,,,,,,
6/4/2024 8:00,2346.59,2349.94,2344.15,2348.04,11393,,,,,,,,,,,,
6/4/2024 12:00,2348.03,2351.74,2326.92,2331.02,18695,,,,,,,,,,,,
6/4/2024 16:00,2331.03,2337.96,2322.22,2330.83,20042,,,,,,,,,,,,
6/4/2024 20:00,2330.79,2332.54,2315.62,2329.77,19593,,,,,,,,,,,,
6/5/2024 0:00,2329.77,2329.77,2326,2326.81,7099,,,,,,,,,,,,
6/5/2024 4:00,2328.19,2330.93,2325.92,2330.5,7777,,,,,,,,,,,,
